original,disfluent
What is the secondary reason consulting pharmacists are increasingly working directly with patients?,What is the primary reason consulting pharmacists are increasingly working directly with patients oh no tell me the secondary reason consulting pharmacists are doing this?
What type of number theory utilizes and studies prime ideals?,Which or no make that what type of number theory utilizes and studies prime ideals?
What alternative to ARPANET was developed? ,Who had a different version or actually what alternative to ARPANET was developed?
What are there no longer limitations on since 1945?,"What are there no longer limitations on since 1939, uh actually since 1945?"
Late published versions were utilized by who?,Original sorry late published versions were utilized by who?
Who led the Mongolian Borjigin clan?,Who led the Yuan dynasty no the Mongolian Borjigin clan?
What could be attributed to gravity acceleration around the Earth?,What could be attributed to gravity acceleration around the Moon umm rather the Earth?
What is the density of all wraps compatible with a modulo 9?,What is the density of all wraps if a and q are coprime I meant to say compatible with a modulo 9?
"If a and q are coprime, which theorem holds that an arithmetic progression has an infinite number of primes?",If a and q are coprime what or no make that which theorem holds that an arithmetic progression has an infinite number of primes?
Why not a worldwide network as opposed to simply a UK only network?,How come actually I mean why is there not a worldwide network instead of a UK only one?
What type of prime distribution does the Riemann hypothesis propose is also true for short intervals near X?,What type of zero oh no rather mean prime distribution does the Riemann hypothesis propose is also true for short intervals near X?
How old was Chopin when he moved to Wola with his family?,How old was Pulaski err rather Chopin when he moved to Wola with his family?
What is the second level of territorial division in Warsaw?,What city er what is the second level of territorial division in Warsaw?
What was the purpose of CSNET,What was the purpose of NSF or uh actually CSNET
